"Incident Date",State,"City or County",Address,"# Killed","# Injured",URL,Source,"Incident Characteristics"
"March 18, 2015","New Hampshire",Chesterfield,"926 Route 9",0,0,http://www.gunviolencearchive.org/incident/308961,http://www.sentinelsource.com/news/local/man-identified-in-chesterfield-standoff-victim-came-looking-for-help/article_ea09a93c-0f72-5e9f-84b4-de1ee44c44d0.html,"Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Officer Involved Shooting - Perpetrator surrender at standoff, Domestic Violence"
"March 18, 2015",Ohio,Cincinnati,"3100 block of Fairfax",0,1,http://www.gunviolencearchive.org/incident/308896,http://www.cincinnati.com/story/news/crime/2015/03/18/evanston-academy-on-lockdown-after-shooting-reported/24960307/,"Shot - Wounded/Injured, Officer Involved Incident"
"March 18, 2015",Texas,"Hill County",,0,0,http://www.gunviolencearchive.org/incident/309461,http://thepolicenews.net/default.aspx?act=Newsletter.aspx&category=News+1-2&newsletterid=52263&menugroup=Home,"Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Shooting - Perpetrator unarmed"
"March 18, 2015",Arizona,Phoenix,,0,1,http://www.gunviolencearchive.org/incident/308904,http://www.azfamily.com/story/28554327/az-corrections-officer-wounded-in-accidental-shooting-at-gun-range,"Shot - Wounded/Injured, Accidental Shooting, Accidental Shooting - Injury, Accidental/Negligent Discharge, Officer Involved Incident, Officer Involved Shooting - Accidental discharge - no injury required, Officer Involved Shooting - Officer shot, Gun range/gun shop shooting"
"March 18, 2015",Ohio,Monroe,"600 block of Ridgepoint Drive",0,0,http://www.gunviolencearchive.org/incident/308851,http://www.whio.com/news/news/crime-law/man-taken-into-custody-after-standoff-in-monroe/nkY4T/,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Officer Involved Shooting - Perpetrator surrender at standoff, Domestic Violence"
"March 18, 2015",Idaho,"Canyon County","9000 block of Charles Way",1,0,http://www.gunviolencearchive.org/incident/309407,http://www.idahopress.com/news/man-dead-after-officer-involved-shooting-in-canyon-county/article_e4d98420-ce3d-11e4-95b3-6b3805cf3109.html?utm_campaign=native_advertising&utm_medium=website&utm_source=front_page&utm_content=,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Perpetrator killed, Brandishing/flourishing/open carry/lost/found"
"March 18, 2015",Florida,Tallahassee,"S Lake Ella Dr.",1,0,http://www.gunviolencearchive.org/incident/310613,http://www.wctv.tv/home/headlines/Police-Investigating-Shooting-at-Lake-Ella-296804571.html,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Perpetrator killed"
"March 18, 2015",California,"La Jolla","9240 Regents Rd",0,0,http://www.gunviolencearchive.org/incident/308772,http://www.utsandiego.com/news/2015/mar/18/ucsd-accidental-shooting-graduate-housing-swat/,"Shots Fired - No Injuries, Accidental Shooting, Accidental/Negligent Discharge, Officer Involved Incident, Officer Involved Shooting - Perpetrator surrender at standoff"
"March 18, 2015",Arizona,Peoria,"67th Avenue and Peoria Avenue",1,0,http://www.gunviolencearchive.org/incident/309118,http://www.abqjournal.com/557351/news/woman-is-fatally-shot-after-pulling-gun-on-police-in-arizona.html,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Perpetrator killed, Brandishing/flourishing/open carry/lost/found"
"March 18, 2015",Oklahoma,"Oklahoma City","3300 block of Northwest Grand",0,1,http://www.gunviolencearchive.org/incident/309818,http://www.okcfox.com/story/28548734/police-investigate-officer-involved-shooting-early-wednesday-morning,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot"
"March 18, 2015",Tennessee,Franklin,"600 block of Cherokee Place",0,0,http://www.gunviolencearchive.org/incident/309801,http://wkrn.com/2015/03/18/convicted-felon-arrested-for-reportedly-planning-a-shooting/,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Possession of gun by felon"
"March 18, 2015",Michigan,"Van Buren County","M-43 and County Road 215",0,0,http://www.gunviolencearchive.org/incident/309787,http://www.mlive.com/news/kalamazoo/index.ssf/2015/03/convicted_felons_from_chicago.html,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, ATF/LE Confiscation/Raid/Arrest, Possession of gun by felon"
"March 17, 2015",California,Bakersfield,"1125 1/2 19th Street",1,0,http://www.gunviolencearchive.org/incident/309247,http://www.turnto23.com/news/local-news/bakersfield-police-officer-shoots-knife-wielding-man-in-downtown-hotel-031815,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Perpetrator killed"
"March 17, 2015",Oklahoma,"Oklahoma City","Southwest 23rd Street and Brookline",0,0,http://www.gunviolencearchive.org/incident/309245,http://www.news9.com/story/28546691/police-report-tactical-team-call-out-in-sw-okc,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Possession of gun by felon"
"March 17, 2015","North Carolina","Bladen County","8100 block of NC Highway 41",1,0,http://www.gunviolencearchive.org/incident/308610,http://www.wect.com/story/28546766/one-dead-after-officer-involved-shooting-in-bladen-county,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Perpetrator killed"
"March 17, 2015",Ohio,Ashtabula,"Route 20",0,0,http://www.gunviolencearchive.org/incident/308543,http://www.starbeacon.com/news/local_news/police-assault-convict-found-with-weapon-during-traffic-stop/article_cfd67b9c-cc3e-11e4-8cf5-c7212d097b30.html,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, ATF/LE Confiscation/Raid/Arrest, Possession of gun by felon"
"March 17, 2015",California,Sacramento,"6000 block of Bridgecross Drive",1,0,http://www.gunviolencearchive.org/incident/309167,http://www.news10.net/story/news/local/citrus-heights/2015/03/18/chp-shooting-rio-linda-suspect-idenfitied/24968647/,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Perpetrator killed"
"March 17, 2015",Indiana,"Tippecanoe County","U.S. 52 and County Road 800 South",0,0,http://www.gunviolencearchive.org/incident/309169,http://wishtv.com/2015/03/17/2-in-custody-after-police-chase-puts-4-tsc-schools-on-alert/,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Possession (gun(s) found during commission of other crimes)"
"March 17, 2015",Wisconsin,Westfield,"W8640 Eagle Avenue",0,1,http://www.gunviolencearchive.org/incident/308994,http://www.channel3000.com/news/Man-shot-by-officer-in-Marquette-County/31868722,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot, Domestic Violence, Under the influence of alcohol or drugs (only applies to the perpetrator), Brandishing/flourishing/open carry/lost/found"
"March 17, 2015",Oregon,"Blue River","Highway 126",0,0,http://www.gunviolencearchive.org/incident/309082,http://www.katu.com/news/local/Police-Man-barricaded-inside-Blue-River-home-after-shooting-at-people-296648031.html,"Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Shooting - Perpetrator surrender at standoff"
"March 17, 2015",Oklahoma,"Oklahoma City","1700 South Prospect Avenue",0,0,http://www.gunviolencearchive.org/incident/309076,http://www.okcfox.com/story/28539713/shots-fired-during-ohp-pursuit,"Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Shooting - Shots fired, no injury"
"March 17, 2015",Michigan,Troy,"Rochester Road and Square Lake Road",0,0,http://www.gunviolencearchive.org/incident/310686,http://www.theoaklandpress.com/general-news/20150321/troy-crime-blotter-royal-oak-resident-arrested-on-dui-concealed-weapon-charges,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Drug involvement, Under the influence of alcohol or drugs (only applies to the perpetrator), Possession (gun(s) found during commission of other crimes)"
"March 17, 2015",Illinois,Chicago,"6740 N Clark St",0,0,http://www.gunviolencearchive.org/incident/309928,http://www.dnainfo.com/chicago/20150319/rogers-park/rogers-park-man-arrested-with-gun-box-of-ammo-police-say,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Drug involvement"
