date,state,city,address,killed,injured,url,source,incident,postalcode,display_address,latitude,longitude
2015-04-04,Colorado,Denver,"20th and Market",0,0,http://www.gunviolencearchive.org/incident/317787,http://www.9news.com/story/news/crime/2015/04/04/denver-overnight-shooting/25286259/,"Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Shooting - Shots fired, no injury",80202,"20th Street & Market Street, Denver, CO 80202, USA",39.7536314,-104.9934421
2015-04-04,Washington,Kent,"87th Street and State Highway 167",0,1,http://www.gunviolencearchive.org/incident/318252,http://www.komonews.com/news/local/Police-activity-closes-SR-167-298688721.html,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot, Drive-by (car to street, car to car), Brandishing/flourishing/open carry/lost/found",,"Washington 167, Kent, WA, USA",47.3965441,-122.2312474
2015-04-04,Illinois,Zion,"2300 block of Gilead Avenue",1,0,http://www.gunviolencearchive.org/incident/317745,http://abc7chicago.com/news/officer-involved-in-zion-shooting-police-say/625011/,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Officer killed",60099,"2300 Gilead Avenue, Zion, IL 60099, USA",42.453936,-87.843942
2015-04-04,Maryland,Crofton,"1700 block of Chamberlain Court",0,1,http://www.gunviolencearchive.org/incident/317537,http://www.washingtonpost.com/local/crime/police-officer-in-anne-arundel-county-shoots-wounds-man-at-house/2015/04/04/ab77e396-daf6-11e4-ba28-f2a685dc7f89_story.html,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot, Implied Weapon, BB/pellet gun",21114,"1700 Chamberlain Court, Crofton, MD 21114, USA",39.01144,-76.671469
2015-04-04,Georgia,Rome,"132 Lewis Barrett Road",0,0,http://www.gunviolencearchive.org/incident/319804,http://www.northwestgeorgianews.com/rome/news/police_fire/rome-woman-accused-of-pointing-a-gun-at-emts-police/article_e4829202-dc28-11e4-99fb-4fe6b3897290.html,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Officer Involved Shooting - Perpetrator surrender at standoff, Brandishing/flourishing/open carry/lost/found",30161,"132 Lewis Boulevard Northeast, Rome, GA 30161, USA",34.266323,-85.1157039
2015-04-04,"South Carolina","North Charleston","1945 Remount Road",1,0,http://www.gunviolencearchive.org/incident/317606,http://www.postandcourier.com/article/20150404/PC16/150409635/1180/man-shot-and-killed-by-north-charleston-police-officer-after-traffic-stop-sled-investigating,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Perpetrator killed, Officer Involved Shooting - Perpetrator unarmed",29406,"1945 Remount Road, North Charleston, SC 29406, USA",32.8990934,-80.0136818
2015-04-04,California,"Pacific Beach","2900 block of Garnet Avenue",0,0,http://www.gunviolencearchive.org/incident/317664,http://www.cbs8.com/story/28721444/swat-standoff-ends-in-pacific-beach,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired",92109,"2900 Garnet Avenue, San Diego, CA 92109, USA",32.8063982,-117.2177809
2015-04-04,California,Anaheim,"Lincoln Avenue and Glassell Street",1,0,http://www.gunviolencearchive.org/incident/317641,http://www.nbclosangeles.com/news/local/Orange-County-Anaheim-Officer-Involved-Shooting-298670421.html,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Perpetrator killed",92865,"North Glassell Street & West Lincoln Avenue, Orange, CA 92865, USA",33.8356103,-117.8524965
2015-04-04,Georgia,Cumming,"Old Atlanta Road and Windmere Parkway",0,1,http://www.gunviolencearchive.org/incident/317591,http://www.wsbtv.com/news/news/local/suspect-shot-officers-injured-crash-forsyth/nkmwr/,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot",30041,"Old Atlanta Road & Windermere Parkway, Cumming, GA 30041, USA",34.111152,-84.1525313
2015-04-04,Illinois,Chicago,"6100 block of South Rockwell",0,1,http://www.gunviolencearchive.org/incident/317978,http://chicago.cbslocal.com/2015/04/04/2-killed-7-wounded-in-shootings-on-south-sw-sides/,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot, Drug involvement, Possession (gun(s) found during commission of other crimes)",60629,"6100 South Rockwell Street, Chicago, IL 60629, USA",41.78271,-87.688968
2015-04-04,Texas,"Corpus Christi","Santa Fe St. and Robert Dr.",0,2,http://www.gunviolencearchive.org/incident/318386,http://www.star-telegram.com/news/state/texas/article17488121.html,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot, Armed robbery with injury/death and/or evidence of DGU found, Pistol-whipping",78412,"Santa Fe Street & Robert Drive, Corpus Christi, TX 78412, USA",27.7352261,-97.3676775
2015-04-04,Texas,Lorena,"I 35",0,0,http://www.gunviolencearchive.org/incident/317915,http://kxan.com/2015/04/04/man-with-gun-halts-traffic-along-i-35-north-of-temple/,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Officer Involved Shooting - Perpetrator surrender at standoff",76655,"Interstate 35, Lorena, TX 76655, USA",31.3887972,-97.2115543
2015-04-04,"New Mexico",Edgewood,,1,0,http://www.gunviolencearchive.org/incident/317880,http://www.kob.com/article/stories/s3756156.shtml?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Kobcom-AlbuquerqueMetro+%28KOB.com+-+Albuquerque+Metro+News%29#.VSDW_OEpDIU,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Perpetrator killed",87015,"Edgewood, NM 87015, USA",35.0614358,-106.1914141
2015-04-04,California,"San Jose","1000 block of Malone Road",0,0,http://www.gunviolencearchive.org/incident/318318,http://www.mercurynews.com/crime-courts/ci_27853702/san-jose-man-arrested-willow-glen-after-firing?source=rss,"Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Shooting - Shots fired, no injury, Officer Involved Shooting - Perpetrator surrender at standoff",95125,"1000 Malone Road, San Jose, CA 95125, USA",37.29451,-121.886869
2015-04-03,Colorado,Loveland,"418 Eighth Street Southeast",1,0,http://www.gunviolencearchive.org/incident/317468,http://www.thedenverchannel.com/news/local-news/suspect-shot-and-killed-during-confrontation-with-loveland-police-officers,"Shot - Dead (murder, accidental, suicide), Suicide, Officer Involved Incident, Officer Involved Shooting - Perpetrator killed, Officer Involved Shooting - Perpetrator suicide at standoff",80537,"418 8th Street Southeast, Loveland, CO 80537, USA",40.385111,-105.0711967
2015-04-03,Oklahoma,Tulsa,"5400 block of South Lewis",0,1,http://www.gunviolencearchive.org/incident/317929,http://www.newson6.com/story/28713599/man-wounded-in-tulsa-police-officer-involved-shooting,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot",74105,"5400 South Lewis Avenue, Tulsa, OK 74105, USA",36.0845154,-95.9579767
2015-04-03,Virginia,"Frederick County","100 block of Gregory Place",1,0,http://www.gunviolencearchive.org/incident/317515,http://www.your4state.com/story/d/story/one-dead-after-officer-involved-shooting-in-freder/44206/kxs_nGb-a0avHXjp20EB1w,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Perpetrator killed, Domestic Violence",22603,"100 Gregory Place, Winchester, VA 22603, USA",39.191956,-78.128415
2015-04-03,Ohio,Dayton,"East Beechwood Avenue",0,0,http://www.gunviolencearchive.org/incident/317753,http://wdtn.com/2015/04/04/two-people-in-custody-after-gunfire-erupts/,"Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Shooting - Shots fired, no injury",45405,"East Beechwood Avenue, Dayton, OH 45405, USA",39.790348,-84.209295
2015-04-03,Ohio,"Harrison Township","2000 block of Kildare Avenue",0,0,http://www.gunviolencearchive.org/incident/317751,http://wdtn.com/2015/04/03/possible-standoff-in-harrison-township/,"Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Shooting - Shots fired, no injury, Officer Involved Shooting - Perpetrator surrender at standoff",45414,"2000 Kildare Avenue, Dayton, OH 45414, USA",39.8307559,-84.1984466
2015-04-03,Louisiana,Slidell,"First and Cousin streets",0,4,http://www.gunviolencearchive.org/incident/317463,http://www.nola.com/crime/index.ssf/2015/04/slidell_officer_hospitalized_w.html#incart_river,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Officer shot",70458,"Cousin Street, Slidell, LA 70458, USA",30.2742283,-89.7781468
2015-04-03,Texas,Liberty,"1900 block of Highway 90",0,1,http://www.gunviolencearchive.org/incident/317316,http://abc13.com/news/suspect-shot-by-police-officer-at-gas-station/618231/,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Perpetrator shot",77575,"1900 U.S. 90, Liberty, TX 77575, USA",30.0509159,-94.7266984
2015-04-03,Pennsylvania,Chambersburg,"Lincoln Highway",0,0,http://www.gunviolencearchive.org/incident/317301,http://local21news.com/news/features/top-stories/stories/man-gun-holds-police-at-bay-chambersburg-16685.shtml,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Brandishing/flourishing/open carry/lost/found",17201,"Greater Chambersburg Chamber of Commerce, 100 U.S. 30 # A, Chambersburg, PA 17201, USA",39.9377497,-77.6610397
2015-04-03,Pennsylvania,Washington,"Addison Street and McCarrell Avenue",0,0,http://www.gunviolencearchive.org/incident/317297,http://www.wpxi.com/news/news/local/man-19-facing-drug-gun-charges-following-standoff-/nkmfh/,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Drug involvement, Criminal act with stolen gun, Stolen gun(s) recovered during arrest/warrant",15301,"Addison Street & McCarrell Avenue, Washington, PA 15301, USA",40.1714112,-80.262073
2015-04-03,Tennessee,Nashville,"3rd Avenue North and Church Street",0,0,http://www.gunviolencearchive.org/incident/317242,http://www.tennessean.com/story/news/crime/2015/04/03/police-arrest-one-after-gunshots-are-fired-at-officer/25231759/,"Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Shooting - Shots fired, no injury, Under the influence of alcohol or drugs (only applies to the perpetrator), Brandishing/flourishing/open carry/lost/found, Concealed Carry License - Perpetrator",37201,"Church Street & 3rd Avenue North, Nashville, TN 37201, USA",36.1642494,-86.777742
2015-04-03,Michigan,"Grand Rapids","Clancy Avenue and Fairbanks Street NE",0,0,http://www.gunviolencearchive.org/incident/317701,http://www.mlive.com/news/grand-rapids/index.ssf/2015/04/melee_over_child_custody_money.html#incart_river,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Defensive Use, Defensive Use - Victim stops crime, Concealed Carry License - Perpetrator",49503,"Clancy Avenue Northeast & Fairbanks Street Northeast, Grand Rapids, MI 49503, USA",42.9752219,-85.663164
2015-04-03,"Rhode Island","East Providence","North Street",0,1,http://www.gunviolencearchive.org/incident/317387,http://www.turnto10.com/story/28717718/apparent-standoff-in-east-providence,"Shot - Wounded/Injured, Suicide - Attempt, Officer Involved Incident, Officer Involved Shooting - Perpetrator surrender at standoff",02915,"North Street, Riverside, RI 02915, USA",41.767415,-71.3631774
2015-04-03,Indiana,Indianapolis,"425 University Blvd",0,1,http://www.gunviolencearchive.org/incident/317628,http://fox59.com/2015/04/03/iupui-officer-suffers-minor-injuries-after-accidental-discharge/,"Shot - Wounded/Injured, Accidental Shooting, Accidental Shooting - Injury, Accidental/Negligent Discharge, Officer Involved Incident",46202,"Indiana University-Purdue University Indianapolis, 425 University Boulevard, Indianapolis, IN 46202, USA",39.7737354,-86.1751562
2015-04-03,Delaware,Bridgeville,"Oak and Sanfilippo Roads",1,0,http://www.gunviolencearchive.org/incident/317576,http://www.nbcphiladelphia.com/news/local/Man-Allegedly-Shoots-Self-During-Police-Pursuit-298667271.html,"Shot - Dead (murder, accidental, suicide), Suicide, Officer Involved Incident, Officer Involved Shooting - Perpetrator suicide at standoff",19933,"Bridgeville, DE 19933, USA",38.7426137,-75.6043714
2015-04-03,Texas,"San Antonio","5900 block of Hidden Rose",0,0,http://www.gunviolencearchive.org/incident/317056,http://www.ksat.com/content/pns/ksat/news/2015/04/03/sapd--suspect-arrested-in-officer-involved-shooting-on-far-west-.html,"Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Shooting - Shots fired, no injury, Drug involvement",78250,"5900 Hidden Rose, San Antonio, TX 78250, USA",29.4945503,-98.6956966
2015-04-02,Louisiana,Pineville,"300 block of Iris Park Dr.",1,0,http://www.gunviolencearchive.org/incident/316958,http://www.thetowntalk.com/story/news/2015/04/02/rapides-deputy-fatally-shoots-man-in-pineville/70841468/,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Perpetrator killed, Brandishing/flourishing/open carry/lost/found",71360,"300 Iris Park Drive, Pineville, LA 71360, USA",31.3449565,-92.4057288
2015-04-02,Texas,Houston,"West Belfort",0,1,http://www.gunviolencearchive.org/incident/316885,http://www.khou.com/story/news/local/2015/04/02/hpd-officer-injured-during-chase-in-southwest-houston/70853720/,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Officer shot",,"West Bellfort Street, Houston, TX, USA",29.6573674,-95.4850251
2015-04-02,Illinois,"Rock Island","12th Avenue and Glenhurst Court",1,0,http://www.gunviolencearchive.org/incident/317358,http://www.wsiltv.com/news/local/Authorities-Investigate-298529751.html,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Perpetrator killed",61201,"12th Avenue & Glenhurst Court, Rock Island, IL 61201, USA",41.4996084,-90.5816248
2015-04-02,Louisiana,Monroe,"300 block of Cole Ave.",0,0,http://www.gunviolencearchive.org/incident/318142,http://www.knoe.com/home/headlines/Monroe-police-chase-ends-with-shots-fired-298501341.html,"Shots Fired - No Injuries, Non-Shooting Incident, Officer Involved Incident, Officer Involved Shooting - Shots fired, no injury",71203,"300 Cole Avenue, Monroe, LA 71203, USA",32.524525,-92.07998
2015-04-02,Georgia,Jonesboro,"Jenson Drive",0,1,http://www.gunviolencearchive.org/incident/316760,http://www.wsbtv.com/news/news/local/man-tries-escape-through-second-floor-window-durin/nkk6k/,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Armed robbery with injury/death and/or evidence of DGU found, Possession (gun(s) found during commission of other crimes)",30236,"Jenson Drive, Jonesboro, GA 30236, USA",33.5228772,-84.3349802
